"geographicAreaM49","aquastatElement","ts_length","count_raw","ts_expansion","count_imp","true_imp","share_NA_imp","definitions"
"Afghanistan",4462,1,1,0,1,0,0,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Afghanistan",4463,1,1,0,1,0,0,"% of area equipped for full control irrigation actually irrigated"
"Afghanistan",4464,1,1,0,1,0,0,"Irrigated cropping intensity"
"Afghanistan",4467,26,3,23,26,23,88.4615384615385,"Freshwater withdrawal as % of total water withdrawal"
"Afghanistan",4468,19,3,16,19,16,84.2105263157895,"Municipal water withdrawal per capita (urban population)"
"Afghanistan",4470,53,12,41,53,41,77.3584905660377,"% of total country area cultivated"
"Afghanistan",4471,56,12,44,56,44,78.5714285714286,"Dam capacity per capita"
"Afghanistan",4531,21,3,18,21,18,85.7142857142857,"Industrial water withdrawal per capita"
"Afghanistan",4532,16,2,14,16,14,87.5,"Agricultural water withdrawal per capita"
"Afghanistan",4538,33,8,25,33,25,75.7575757575758,"% of economically active population active in agriculture"
"Afghanistan",4550,26,3,23,26,23,88.4615384615385,"Not defined6"
"Afghanistan",4551,1,1,0,1,0,0,"Not defined7"
"Afghanistan",4552,12,2,10,12,10,83.3333333333333,"Not defined8"
"Afghanistan",4553,6,2,4,6,4,66.6666666666667,"Not defined9"
"Afghanistan",4554,19,3,16,19,16,84.2105263157895,"Not defined10"
"Afghanistan",4555,1,1,0,1,0,0,"Not defined11"
"Afghanistan",4556,1,1,0,1,0,0,"Not defined12"
"Aland Islands",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Aland Islands",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Aland Islands",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Aland Islands",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Albania",4103,53,12,41,53,41,77.3584905660377,"Cultivated area (arable land + permanent crops)"
"Albania",4105,54,12,42,54,42,77.7777777777778,"Rural population"
"Albania",4107,54,12,42,54,42,77.7777777777778,"Population density"
"Albania",4108,33,8,25,33,25,75.7575757575758,"Population economically active in agriculture"
"Albania",4150,53,12,41,53,41,77.3584905660377,"Long-term average annual precipitation in volume"
"Albania",4157,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources (IRWR)"
"Albania",4158,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources per capita"
"Albania",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Albania",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Albania",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Albania",4185,53,12,41,53,41,77.3584905660377,"Total renewable surface water"
"Albania",4187,53,12,41,53,41,77.3584905660377,"Total renewable groundwater"
"Albania",4188,53,12,41,53,41,77.3584905660377,"Total renewable water resources"
"Albania",4190,53,12,41,53,41,77.3584905660377,"Total renewable water resources per capita"
"Albania",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Albania",4196,51,11,40,51,40,78.4313725490196,"Total exploitable water resources"
"Albania",4253,17,3,14,17,14,82.3529411764706,"Total water withdrawal"
"Albania",4254,17,3,14,17,14,82.3529411764706,"Agricultural water withdrawal as % of total water withdrawal"
"Albania",4255,17,3,14,17,14,82.3529411764706,"Municipal water withdrawal as % of total withdrawal"
"Albania",4256,17,3,14,17,14,82.3529411764706,"Industrial water withdrawal as % of total water withdrawal"
"Albania",4257,17,3,14,17,14,82.3529411764706,"Total water withdrawal per capita"
"Albania",4263,17,3,14,17,14,82.3529411764706,"Total freshwater withdrawal (primary and secondary)"
"Albania",4271,1,1,0,1,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Albania",4273,17,4,13,17,13,76.4705882352941,"Agricultural water withdrawal as % of total renewable water resources"
"Albania",4275,17,3,14,17,14,82.3529411764706,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Albania",4300,1,1,0,1,0,0,"Total cultivated area drained"
"Albania",4305,1,1,0,1,0,0,"% of total cultivated area drained"
"Albania",4311,24,5,19,24,19,79.1666666666667,"Area equipped for full control irrigation: total"
"Albania",4313,55,5,50,55,50,90.9090909090909,"Area equipped for irrigation: total"
"Albania",4317,24,5,19,24,19,79.1666666666667,"Total agricultural water managed area"
"Albania",4319,24,5,19,24,19,79.1666666666667,"% of agricultural water managed area equipped for irrigation"
"Albania",4323,1,1,0,1,0,0,"% of area equipped for irrigation by groundwater"
"Albania",4324,1,1,0,1,0,0,"% of area equipped for irrigation by surface water"
"Albania",4327,1,1,0,1,0,0,"% of area equipped for irrigation power irrigated"
"Albania",4328,14,3,11,14,11,78.5714285714286,"% of the area equipped for irrigation actually irrigated"
"Albania",4331,24,5,19,24,19,79.1666666666667,"% of the cultivated area equipped for irrigation"
"Albania",4445,1,1,0,1,0,0,"% of area equipped for irrigation salinized"
"Albania",4450,17,3,14,17,14,82.3529411764706,"Freshwater withdrawal as % of internal renewable water resources"
"Albania",4457,16,3,13,16,13,81.25,"Municipal water withdrawal per capita (total population)"
"Albania",4458,29,7,22,29,22,75.8620689655172,"GDP per Capita"
"Albania",4459,1,1,0,1,0,0,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Albania",4462,1,1,0,1,0,0,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Albania",4463,14,3,11,14,11,78.5714285714286,"% of area equipped for full control irrigation actually irrigated"
"Albania",4464,1,1,0,1,0,0,"Irrigated cropping intensity"
"Albania",4467,17,3,14,17,14,82.3529411764706,"Freshwater withdrawal as % of total water withdrawal"
"Albania",4468,16,3,13,16,13,81.25,"Municipal water withdrawal per capita (urban population)"
"Albania",4470,53,12,41,53,41,77.3584905660377,"% of total country area cultivated"
"Albania",4471,51,11,40,51,40,78.4313725490196,"Dam capacity per capita"
"Albania",4531,16,3,13,16,13,81.25,"Industrial water withdrawal per capita"
"Albania",4532,16,4,12,16,12,75,"Agricultural water withdrawal per capita"
"Albania",4538,33,8,25,33,25,75.7575757575758,"% of economically active population active in agriculture"
"Albania",4550,17,3,14,17,14,82.3529411764706,"Not defined6"
"Albania",4551,17,3,14,17,14,82.3529411764706,"Not defined7"
"Albania",4552,17,4,13,17,13,76.4705882352941,"Not defined8"
"Albania",4553,16,3,13,16,13,81.25,"Not defined9"
"Albania",4554,16,3,13,16,13,81.25,"Not defined10"
"Albania",4555,1,1,0,1,0,0,"Not defined11"
"Albania",4556,1,1,0,1,0,0,"Not defined12"
"Algeria",4103,53,12,41,53,41,77.3584905660377,"Cultivated area (arable land + permanent crops)"
"Algeria",4105,54,12,42,54,42,77.7777777777778,"Rural population"
"Algeria",4107,54,12,42,54,42,77.7777777777778,"Population density"
"Algeria",4108,33,8,25,33,25,75.7575757575758,"Population economically active in agriculture"
"Algeria",4150,53,12,41,53,41,77.3584905660377,"Long-term average annual precipitation in volume"
"Algeria",4157,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources (IRWR)"
"Algeria",4158,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources per capita"
"Algeria",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Algeria",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Algeria",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Algeria",4185,53,12,41,53,41,77.3584905660377,"Total renewable surface water"
"Algeria",4187,53,12,41,53,41,77.3584905660377,"Total renewable groundwater"
"Algeria",4188,53,12,41,53,41,77.3584905660377,"Total renewable water resources"
"Algeria",4190,53,12,41,53,41,77.3584905660377,"Total renewable water resources per capita"
"Algeria",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Algeria",4196,51,11,40,51,40,78.4313725490196,"Total exploitable water resources"
"Algeria",4253,43,7,36,43,36,83.7209302325581,"Total water withdrawal"
"Algeria",4254,33,4,29,33,29,87.8787878787879,"Agricultural water withdrawal as % of total water withdrawal"
"Algeria",4255,33,4,29,33,29,87.8787878787879,"Municipal water withdrawal as % of total withdrawal"
"Algeria",4256,33,4,29,33,29,87.8787878787879,"Industrial water withdrawal as % of total water withdrawal"
"Algeria",4257,43,7,36,43,36,83.7209302325581,"Total water withdrawal per capita"
"Algeria",4263,43,7,36,43,36,83.7209302325581,"Total freshwater withdrawal (primary and secondary)"
"Algeria",4271,1,1,0,1,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Algeria",4273,33,4,29,33,29,87.8787878787879,"Agricultural water withdrawal as % of total renewable water resources"
"Algeria",4275,43,7,36,43,36,83.7209302325581,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Algeria",4300,1,1,0,1,0,0,"Total cultivated area drained"
"Algeria",4305,1,1,0,1,0,0,"% of total cultivated area drained"
"Algeria",4311,21,3,18,21,18,85.7142857142857,"Area equipped for full control irrigation: total"
"Algeria",4313,21,3,18,21,18,85.7142857142857,"Area equipped for irrigation: total"
"Algeria",4317,21,3,18,21,18,85.7142857142857,"Total agricultural water managed area"
"Algeria",4319,21,3,18,21,18,85.7142857142857,"% of agricultural water managed area equipped for irrigation"
"Algeria",4323,12,2,10,12,10,83.3333333333333,"% of area equipped for irrigation by groundwater"
"Algeria",4324,12,2,10,12,10,83.3333333333333,"% of area equipped for irrigation by surface water"
"Algeria",4325,12,2,10,12,10,83.3333333333333,"% of area equipped for irrigation by mixed surface water and groundwater"
"Algeria",4328,21,3,18,21,18,85.7142857142857,"% of the area equipped for irrigation actually irrigated"
"Algeria",4330,21,3,18,21,18,85.7142857142857,"% of irrigation potential equipped for irrigation"
"Algeria",4331,21,3,18,21,18,85.7142857142857,"% of the cultivated area equipped for irrigation"
"Algeria",4446,1,1,0,1,0,0,"% of area equipped for irrigation drained"
"Algeria",4450,43,7,36,43,36,83.7209302325581,"Freshwater withdrawal as % of internal renewable water resources"
"Algeria",4457,33,4,29,33,29,87.8787878787879,"Municipal water withdrawal per capita (total population)"
"Algeria",4458,54,12,42,54,42,77.7777777777778,"GDP per Capita"
"Algeria",4459,21,2,19,21,19,90.4761904761905,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Algeria",4462,12,2,10,12,10,83.3333333333333,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Algeria",4463,12,2,10,12,10,83.3333333333333,"% of area equipped for full control irrigation actually irrigated"
"Algeria",4464,12,2,10,12,10,83.3333333333333,"Irrigated cropping intensity"
"Algeria",4466,1,1,0,1,0,0,"% of area equipped by direct use of treated municipal wastewater"
"Algeria",4467,43,7,36,43,36,83.7209302325581,"Freshwater withdrawal as % of total water withdrawal"
"Algeria",4468,33,4,29,33,29,87.8787878787879,"Municipal water withdrawal per capita (urban population)"
"Algeria",4470,53,12,41,53,41,77.3584905660377,"% of total country area cultivated"
"Algeria",4471,56,12,44,56,44,78.5714285714286,"Dam capacity per capita"
"Algeria",4509,51,11,40,51,40,78.4313725490196,"Exploitable: total renewable surface water"
"Algeria",4531,31,4,27,31,27,87.0967741935484,"Industrial water withdrawal per capita"
"Algeria",4532,31,4,27,31,27,87.0967741935484,"Agricultural water withdrawal per capita"
"Algeria",4538,33,8,25,33,25,75.7575757575758,"% of economically active population active in agriculture"
"Algeria",4550,43,7,36,43,36,83.7209302325581,"Not defined6"
"Algeria",4551,33,4,29,33,29,87.8787878787879,"Not defined7"
"Algeria",4552,33,4,29,33,29,87.8787878787879,"Not defined8"
"Algeria",4553,33,4,29,33,29,87.8787878787879,"Not defined9"
"Algeria",4554,33,4,29,33,29,87.8787878787879,"Not defined10"
"Algeria",4555,1,1,0,1,0,0,"Not defined11"
"Algeria",4556,8,2,6,8,6,75,"Not defined12"
"Antigua and Barbuda",4103,53,12,41,53,41,77.3584905660377,"Cultivated area (arable land + permanent crops)"
"Antigua and Barbuda",4105,54,12,42,54,42,77.7777777777778,"Rural population"
"Antigua and Barbuda",4107,54,12,42,54,42,77.7777777777778,"Population density"
"Antigua and Barbuda",4108,33,8,25,33,25,75.7575757575758,"Population economically active in agriculture"
"Antigua and Barbuda",4150,53,12,41,53,41,77.3584905660377,"Long-term average annual precipitation in volume"
"Antigua and Barbuda",4157,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources (IRWR)"
"Antigua and Barbuda",4158,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources per capita"
"Antigua and Barbuda",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Antigua and Barbuda",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Antigua and Barbuda",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Antigua and Barbuda",4188,53,12,41,53,41,77.3584905660377,"Total renewable water resources"
"Antigua and Barbuda",4190,53,12,41,53,41,77.3584905660377,"Total renewable water resources per capita"
"Antigua and Barbuda",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Antigua and Barbuda",4253,23,3,20,23,20,86.9565217391304,"Total water withdrawal"
"Antigua and Barbuda",4254,23,3,20,23,20,86.9565217391304,"Agricultural water withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4255,23,3,20,23,20,86.9565217391304,"Municipal water withdrawal as % of total withdrawal"
"Antigua and Barbuda",4256,23,3,20,23,20,86.9565217391304,"Industrial water withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4257,23,3,20,23,20,86.9565217391304,"Total water withdrawal per capita"
"Antigua and Barbuda",4263,23,3,20,23,20,86.9565217391304,"Total freshwater withdrawal (primary and secondary)"
"Antigua and Barbuda",4271,1,1,0,1,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Antigua and Barbuda",4273,23,4,19,23,19,82.6086956521739,"Agricultural water withdrawal as % of total renewable water resources"
"Antigua and Barbuda",4275,23,3,20,23,20,86.9565217391304,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Antigua and Barbuda",4300,1,1,0,1,0,0,"Total cultivated area drained"
"Antigua and Barbuda",4305,1,1,0,1,0,0,"% of total cultivated area drained"
"Antigua and Barbuda",4311,18,2,16,18,16,88.8888888888889,"Area equipped for full control irrigation: total"
"Antigua and Barbuda",4313,18,2,16,18,16,88.8888888888889,"Area equipped for irrigation: total"
"Antigua and Barbuda",4317,18,2,16,18,16,88.8888888888889,"Total agricultural water managed area"
"Antigua and Barbuda",4319,18,2,16,18,16,88.8888888888889,"% of agricultural water managed area equipped for irrigation"
"Antigua and Barbuda",4323,1,1,0,1,0,0,"% of area equipped for irrigation by groundwater"
"Antigua and Barbuda",4324,1,1,0,1,0,0,"% of area equipped for irrigation by surface water"
"Antigua and Barbuda",4327,1,1,0,1,0,0,"% of area equipped for irrigation power irrigated"
"Antigua and Barbuda",4328,1,1,0,1,0,0,"% of the area equipped for irrigation actually irrigated"
"Antigua and Barbuda",4331,18,2,16,18,16,88.8888888888889,"% of the cultivated area equipped for irrigation"
"Antigua and Barbuda",4450,23,3,20,23,20,86.9565217391304,"Freshwater withdrawal as % of internal renewable water resources"
"Antigua and Barbuda",4457,23,3,20,23,20,86.9565217391304,"Municipal water withdrawal per capita (total population)"
"Antigua and Barbuda",4458,39,9,30,39,30,76.9230769230769,"GDP per Capita"
"Antigua and Barbuda",4459,18,2,16,18,16,88.8888888888889,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Antigua and Barbuda",4462,1,1,0,1,0,0,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Antigua and Barbuda",4463,1,1,0,1,0,0,"% of area equipped for full control irrigation actually irrigated"
"Antigua and Barbuda",4464,1,1,0,1,0,0,"Irrigated cropping intensity"
"Antigua and Barbuda",4467,23,3,20,23,20,86.9565217391304,"Freshwater withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4468,23,3,20,23,20,86.9565217391304,"Municipal water withdrawal per capita (urban population)"
"Antigua and Barbuda",4470,53,12,41,53,41,77.3584905660377,"% of total country area cultivated"
"Antigua and Barbuda",4471,54,12,42,54,42,77.7777777777778,"Dam capacity per capita"
"Antigua and Barbuda",4531,21,3,18,21,18,85.7142857142857,"Industrial water withdrawal per capita"
"Antigua and Barbuda",4532,21,4,17,21,17,80.9523809523809,"Agricultural water withdrawal per capita"
"Antigua and Barbuda",4538,33,8,25,33,25,75.7575757575758,"% of economically active population active in agriculture"
"Antigua and Barbuda",4550,23,3,20,23,20,86.9565217391304,"Not defined6"
"Antigua and Barbuda",4551,23,3,20,23,20,86.9565217391304,"Not defined7"
"Antigua and Barbuda",4552,23,4,19,23,19,82.6086956521739,"Not defined8"
"Antigua and Barbuda",4553,23,3,20,23,20,86.9565217391304,"Not defined9"
"Antigua and Barbuda",4554,23,3,20,23,20,86.9565217391304,"Not defined10"
"Antigua and Barbuda",4555,1,1,0,1,0,0,"Not defined11"
"Antigua and Barbuda",4556,18,2,16,18,16,88.8888888888889,"Not defined12"
"Argentina",4103,53,12,41,53,41,77.3584905660377,"Cultivated area (arable land + permanent crops)"
"Argentina",4105,54,12,42,54,42,77.7777777777778,"Rural population"
"Argentina",4107,54,12,42,54,42,77.7777777777778,"Population density"
"Argentina",4108,33,8,25,33,25,75.7575757575758,"Population economically active in agriculture"
"Argentina",4150,53,12,41,53,41,77.3584905660377,"Long-term average annual precipitation in volume"
"Argentina",4157,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources (IRWR)"
"Argentina",4158,53,12,41,53,41,77.3584905660377,"Total internal renewable water resources per capita"
"Argentina",4164,53,12,41,53,41,77.3584905660377,"Surface water: accounted inflow"
"Argentina",4176,53,12,41,53,41,77.3584905660377,"Surface water: total external renewable"
"Argentina",4182,53,12,41,53,41,77.3584905660377,"Water resources: total external renewable"
"Argentina",4185,53,12,41,53,41,77.3584905660377,"Total renewable surface water"
"Argentina",4187,53,12,41,53,41,77.3584905660377,"Total renewable groundwater"
"Argentina",4188,53,12,41,53,41,77.3584905660377,"Total renewable water resources"
"Argentina",4190,53,12,41,53,41,77.3584905660377,"Total renewable water resources per capita"
"Argentina",4192,53,12,41,53,41,77.3584905660377,"Dependency ratio"
"Argentina",4253,36,3,33,36,33,91.6666666666667,"Total water withdrawal"
"Argentina",4254,17,2,15,17,15,88.2352941176471,"Agricultural water withdrawal as % of total water withdrawal"
"Argentina",4255,17,2,15,17,15,88.2352941176471,"Municipal water withdrawal as % of total withdrawal"
"Argentina",4256,17,2,15,17,15,88.2352941176471,"Industrial water withdrawal as % of total water withdrawal"
"Argentina",4257,36,3,33,36,33,91.6666666666667,"Total water withdrawal per capita"
"Argentina",4263,36,3,33,36,33,91.6666666666667,"Total freshwater withdrawal (primary and secondary)"
"Argentina",4271,1,1,0,1,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Argentina",4273,17,3,14,17,14,82.3529411764706,"Agricultural water withdrawal as % of total renewable water resources"
"Argentina",4275,36,3,33,36,33,91.6666666666667,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Argentina",4311,24,3,21,24,21,87.5,"Area equipped for full control irrigation: total"
"Argentina",4313,51,3,48,51,48,94.1176470588235,"Area equipped for irrigation: total"
"Argentina",4317,24,3,21,24,21,87.5,"Total agricultural water managed area"
"Argentina",4319,24,3,21,24,21,87.5,"% of agricultural water managed area equipped for irrigation"
"Argentina",4323,1,1,0,1,0,0,"% of area equipped for irrigation by groundwater"
"Argentina",4324,1,1,0,1,0,0,"% of area equipped for irrigation by surface water"
"Argentina",4325,13,2,11,13,11,84.6153846153846,"% of area equipped for irrigation by mixed surface water and groundwater"
"Argentina",4327,1,1,0,1,0,0,"% of area equipped for irrigation power irrigated"
"Argentina",4328,1,1,0,1,0,0,"% of the area equipped for irrigation actually irrigated"
"Argentina",4330,24,3,21,24,21,87.5,"% of irrigation potential equipped for irrigation"
"Argentina",4331,24,3,21,24,21,87.5,"% of the cultivated area equipped for irrigation"
"Argentina",4445,1,1,0,1,0,0,"% of area equipped for irrigation salinized"
"Argentina",4450,36,3,33,36,33,91.6666666666667,"Freshwater withdrawal as % of internal renewable water resources"
"Argentina",4455,32,8,24,32,24,75,"Conservation agriculture area as % of arable land area"
"Argentina",4457,17,2,15,17,15,88.2352941176471,"Municipal water withdrawal per capita (total population)"
"Argentina",4458,53,12,41,53,41,77.3584905660377,"GDP per Capita"
"Argentina",4459,24,3,21,24,21,87.5,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Argentina",4462,1,1,0,1,0,0,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Argentina",4463,1,1,0,1,0,0,"% of area equipped for full control irrigation actually irrigated"
"Argentina",4464,1,1,0,1,0,0,"Irrigated cropping intensity"
"Argentina",4467,36,3,33,36,33,91.6666666666667,"Freshwater withdrawal as % of total water withdrawal"
"Argentina",4468,17,2,15,17,15,88.2352941176471,"Municipal water withdrawal per capita (urban population)"
"Argentina",4470,53,12,41,53,41,77.3584905660377,"% of total country area cultivated"
"Argentina",4471,56,12,44,56,44,78.5714285714286,"Dam capacity per capita"
"Argentina",4531,16,3,13,16,13,81.25,"Industrial water withdrawal per capita"
"Argentina",4532,16,3,13,16,13,81.25,"Agricultural water withdrawal per capita"
"Argentina",4538,33,8,25,33,25,75.7575757575758,"% of economically active population active in agriculture"
"Argentina",4550,36,3,33,36,33,91.6666666666667,"Not defined6"
"Argentina",4551,17,2,15,17,15,88.2352941176471,"Not defined7"
"Argentina",4552,17,3,14,17,14,82.3529411764706,"Not defined8"
"Argentina",4553,17,3,14,17,14,82.3529411764706,"Not defined9"
"Argentina",4554,17,2,15,17,15,88.2352941176471,"Not defined10"
"Argentina",4555,1,1,0,1,0,0,"Not defined11"
"Argentina",4556,12,2,10,12,10,83.3333333333333,"Not defined12"
"Armenia",4103,23,6,17,23,17,73.9130434782609,"Cultivated area (arable land + permanent crops)"
"Armenia",4105,24,6,18,24,18,75,"Rural population"
"Armenia",4107,24,6,18,24,18,75,"Population density"
"Armenia",4108,23,6,17,23,17,73.9130434782609,"Population economically active in agriculture"
"Armenia",4150,23,6,17,23,17,73.9130434782609,"Long-term average annual precipitation in volume"
"Armenia",4157,23,6,17,23,17,73.9130434782609,"Total internal renewable water resources (IRWR)"
"Armenia",4158,23,6,17,23,17,73.9130434782609,"Total internal renewable water resources per capita"
"Armenia",4164,23,6,17,23,17,73.9130434782609,"Surface water: accounted inflow"
"Armenia",4176,23,6,17,23,17,73.9130434782609,"Surface water: total external renewable"
"Armenia",4182,23,6,17,23,17,73.9130434782609,"Water resources: total external renewable"
"Armenia",4185,23,6,17,23,17,73.9130434782609,"Total renewable surface water"
"Armenia",4187,23,6,17,23,17,73.9130434782609,"Total renewable groundwater"
"Armenia",4188,23,6,17,23,17,73.9130434782609,"Total renewable water resources"
"Armenia",4190,23,6,17,23,17,73.9130434782609,"Total renewable water resources per capita"
"Armenia",4192,23,6,17,23,17,73.9130434782609,"Dependency ratio"
"Armenia",4253,21,5,16,21,16,76.1904761904762,"Total water withdrawal"
"Armenia",4254,21,5,16,21,16,76.1904761904762,"Agricultural water withdrawal as % of total water withdrawal"
"Armenia",4255,21,5,16,21,16,76.1904761904762,"Municipal water withdrawal as % of total withdrawal"
"Armenia",4256,21,5,16,21,16,76.1904761904762,"Industrial water withdrawal as % of total water withdrawal"
"Armenia",4257,21,5,16,21,16,76.1904761904762,"Total water withdrawal per capita"
"Armenia",4263,21,5,16,21,16,76.1904761904762,"Total freshwater withdrawal (primary and secondary)"
"Armenia",4271,1,1,0,1,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Armenia",4273,21,5,16,21,16,76.1904761904762,"Agricultural water withdrawal as % of total renewable water resources"
"Armenia",4275,21,5,16,21,16,76.1904761904762,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Armenia",4300,13,2,11,13,11,84.6153846153846,"Total cultivated area drained"
"Armenia",4305,13,2,11,13,11,84.6153846153846,"% of total cultivated area drained"
"Armenia",4311,15,4,11,15,11,73.3333333333333,"Area equipped for full control irrigation: total"
"Armenia",4313,15,4,11,15,11,73.3333333333333,"Area equipped for irrigation: total"
"Armenia",4317,15,4,11,15,11,73.3333333333333,"Total agricultural water managed area"
"Armenia",4319,15,4,11,15,11,73.3333333333333,"% of agricultural water managed area equipped for irrigation"
"Armenia",4323,10,3,7,10,7,70,"% of area equipped for irrigation by groundwater"
"Armenia",4324,10,3,7,10,7,70,"% of area equipped for irrigation by surface water"
"Armenia",4325,1,1,0,1,0,0,"% of area equipped for irrigation by mixed surface water and groundwater"
