"geographicAreaM49","aquastatElement","ts_length","count_NA_raw","count_NA_imp","num_imp_values","share_NA_imp","description"
"Afghanistan",4533,30,30,0,30,100,"Area equipped by direct use of treated municipal wastewater"
"Afghanistan",4534,30,30,0,30,100,"Area equipped by direct use of not treated municipal wastewater"
"Afghanistan",4535,30,30,0,30,100,"Direct use of treated municipal wastewater"
"Afghanistan",4536,30,18,0,18,60,"Overlap: between surface water and groundwater"
"Afghanistan",4538,30,22,0,22,73.3333333333333,"% of economically active population active in agriculture"
"Aland Islands",4103,12,12,0,12,100,"Cultivated area (arable land + permanent crops)"
"Aland Islands",4105,12,12,0,12,100,"Rural population"
"Aland Islands",4107,12,12,12,0,0,"Population density"
"Aland Islands",4108,12,12,0,12,100,"Population economically active in agriculture"
"Aland Islands",4150,12,12,0,12,100,"Long-term average annual precipitation in volume"
"Aland Islands",4157,12,12,0,12,100,"Total internal renewable water resources (IRWR)"
"Aland Islands",4158,12,12,12,0,0,"Total internal renewable water resources per capita"
"Aland Islands",4164,12,0,0,0,0,"Surface water: accounted inflow"
"Aland Islands",4176,12,0,0,0,0,"Surface water: total external renewable"
"Aland Islands",4182,12,0,0,0,0,"Water resources: total external renewable"
"Aland Islands",4185,12,12,0,12,100,"Total renewable surface water"
"Aland Islands",4187,12,12,0,12,100,"Total renewable groundwater"
"Aland Islands",4188,12,12,0,12,100,"Total renewable water resources"
"Aland Islands",4190,12,12,12,0,0,"Total renewable water resources per capita"
"Aland Islands",4192,12,12,12,0,0,"Dependency ratio"
"Aland Islands",4196,12,12,0,12,100,"Total exploitable water resources"
"Aland Islands",4253,12,12,0,12,100,"Total water withdrawal"
"Aland Islands",4254,12,12,12,0,0,"Agricultural water withdrawal as % of total water withdrawal"
"Aland Islands",4255,12,12,12,0,0,"Municipal water withdrawal as % of total withdrawal"
"Aland Islands",4256,12,12,12,0,0,"Industrial water withdrawal as % of total water withdrawal"
"Aland Islands",4257,12,12,12,0,0,"Total water withdrawal per capita"
"Aland Islands",4263,12,12,0,12,100,"Total freshwater withdrawal (primary and secondary)"
"Aland Islands",4271,12,12,12,0,0,"Agricultural water requirement as % of agricultural water withdrawal"
"Aland Islands",4273,12,12,12,0,0,"Agricultural water withdrawal as % of total renewable water resources"
"Aland Islands",4275,12,12,12,0,0,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Aland Islands",4300,12,12,0,12,100,"Total cultivated area drained"
"Aland Islands",4305,12,12,12,0,0,"% of total cultivated area drained"
"Aland Islands",4311,12,12,0,12,100,"Area equipped for full control irrigation: total"
"Aland Islands",4313,12,12,0,12,100,"Area equipped for irrigation: total"
"Aland Islands",4317,12,12,0,12,100,"Total agricultural water managed area"
"Aland Islands",4319,12,12,12,0,0,"% of agricultural water managed area equipped for irrigation"
"Aland Islands",4323,12,12,12,0,0,"% of area equipped for irrigation by groundwater"
"Aland Islands",4324,12,12,12,0,0,"% of area equipped for irrigation by surface water"
"Aland Islands",4325,12,12,12,0,0,"% of area equipped for irrigation by mixed surface water and groundwater"
"Aland Islands",4327,12,12,12,0,0,"% of area equipped for irrigation power irrigated"
"Aland Islands",4328,12,12,12,0,0,"% of the area equipped for irrigation actually irrigated"
"Aland Islands",4330,12,12,12,0,0,"% of irrigation potential equipped for irrigation"
"Aland Islands",4331,12,12,12,0,0,"% of the cultivated area equipped for irrigation"
"Aland Islands",4445,12,12,12,0,0,"% of area equipped for irrigation salinized"
"Aland Islands",4446,12,12,12,0,0,"% of area equipped for irrigation drained"
"Aland Islands",4448,12,12,0,12,100,"Other agricultural water managed area"
"Aland Islands",4450,12,12,12,0,0,"Freshwater withdrawal as % of internal renewable water resources"
"Aland Islands",4455,12,12,12,0,0,"Conservation agriculture area as % of arable land area"
"Aland Islands",4457,12,12,12,0,0,"Municipal water withdrawal per capita (total population)"
"Aland Islands",4458,12,12,12,0,0,"GDP per Capita"
"Aland Islands",4459,12,12,0,12,100,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Aland Islands",4462,12,12,12,0,0,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Aland Islands",4463,12,12,12,0,0,"% of area equipped for full control irrigation actually irrigated"
"Aland Islands",4464,12,12,12,0,0,"Irrigated cropping intensity"
"Aland Islands",4466,12,12,12,0,0,"% of area equipped by direct use of treated municipal wastewater"
"Aland Islands",4467,12,12,12,0,0,"Freshwater withdrawal as % of total water withdrawal"
"Aland Islands",4468,12,12,12,0,0,"Municipal water withdrawal per capita (urban population)"
"Aland Islands",4470,12,12,12,0,0,"% of total country area cultivated"
"Aland Islands",4471,12,12,12,0,0,"Dam capacity per capita"
"Aland Islands",4509,12,12,0,12,100,"Exploitable: total renewable surface water"
"Aland Islands",4514,12,12,12,0,0,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
"Aland Islands",4531,12,12,12,0,0,"Industrial water withdrawal per capita"
"Aland Islands",4532,12,12,12,0,0,"Agricultural water withdrawal per capita"
"Aland Islands",4533,12,12,0,12,100,"Area equipped by direct use of treated municipal wastewater"
"Aland Islands",4534,12,12,0,12,100,"Area equipped by direct use of not treated municipal wastewater"
"Aland Islands",4535,12,12,0,12,100,"Direct use of treated municipal wastewater"
"Aland Islands",4536,12,12,0,12,100,"Overlap: between surface water and groundwater"
"Aland Islands",4538,12,12,12,0,0,"% of economically active population active in agriculture"
"Albania",4103,26,14,0,14,53.8461538461538,"Cultivated area (arable land + permanent crops)"
"Albania",4105,26,14,0,14,53.8461538461538,"Rural population"
"Albania",4107,26,15,0,15,57.6923076923077,"Population density"
"Albania",4108,26,18,0,18,69.2307692307692,"Population economically active in agriculture"
"Albania",4150,26,14,0,14,53.8461538461538,"Long-term average annual precipitation in volume"
"Albania",4157,26,14,0,14,53.8461538461538,"Total internal renewable water resources (IRWR)"
"Albania",4158,26,15,0,15,57.6923076923077,"Total internal renewable water resources per capita"
"Albania",4164,26,14,0,14,53.8461538461538,"Surface water: accounted inflow"
"Albania",4176,26,14,0,14,53.8461538461538,"Surface water: total external renewable"
"Albania",4182,26,14,0,14,53.8461538461538,"Water resources: total external renewable"
"Albania",4185,26,14,0,14,53.8461538461538,"Total renewable surface water"
"Albania",4187,26,14,0,14,53.8461538461538,"Total renewable groundwater"
"Albania",4188,26,14,0,14,53.8461538461538,"Total renewable water resources"
"Albania",4190,26,15,0,15,57.6923076923077,"Total renewable water resources per capita"
"Albania",4192,26,14,0,14,53.8461538461538,"Dependency ratio"
"Albania",4196,26,26,0,26,100,"Total exploitable water resources"
"Albania",4253,26,24,0,24,92.3076923076923,"Total water withdrawal"
"Albania",4254,26,23,0,23,88.4615384615385,"Agricultural water withdrawal as % of total water withdrawal"
"Albania",4255,26,24,0,24,92.3076923076923,"Municipal water withdrawal as % of total withdrawal"
"Albania",4256,26,24,0,24,92.3076923076923,"Industrial water withdrawal as % of total water withdrawal"
"Albania",4257,26,26,0,26,100,"Total water withdrawal per capita"
"Albania",4263,26,26,0,26,100,"Total freshwater withdrawal (primary and secondary)"
"Albania",4271,26,25,0,25,96.1538461538462,"Agricultural water requirement as % of agricultural water withdrawal"
"Albania",4273,26,26,0,26,100,"Agricultural water withdrawal as % of total renewable water resources"
"Albania",4275,26,26,0,26,100,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Albania",4300,26,26,0,26,100,"Total cultivated area drained"
"Albania",4305,26,26,0,26,100,"% of total cultivated area drained"
"Albania",4311,26,26,0,26,100,"Area equipped for full control irrigation: total"
"Albania",4313,26,26,0,26,100,"Area equipped for irrigation: total"
"Albania",4317,26,26,0,26,100,"Total agricultural water managed area"
"Albania",4319,26,21,0,21,80.7692307692308,"% of agricultural water managed area equipped for irrigation"
"Albania",4323,26,26,0,26,100,"% of area equipped for irrigation by groundwater"
"Albania",4324,26,25,0,25,96.1538461538462,"% of area equipped for irrigation by surface water"
"Albania",4325,26,26,0,26,100,"% of area equipped for irrigation by mixed surface water and groundwater"
"Albania",4327,26,26,0,26,100,"% of area equipped for irrigation power irrigated"
"Albania",4328,26,23,0,23,88.4615384615385,"% of the area equipped for irrigation actually irrigated"
"Albania",4330,26,26,0,26,100,"% of irrigation potential equipped for irrigation"
"Albania",4331,26,23,0,23,88.4615384615385,"% of the cultivated area equipped for irrigation"
"Albania",4445,26,25,0,25,96.1538461538462,"% of area equipped for irrigation salinized"
"Albania",4446,26,26,0,26,100,"% of area equipped for irrigation drained"
"Albania",4448,26,26,0,26,100,"Other agricultural water managed area"
"Albania",4450,26,26,0,26,100,"Freshwater withdrawal as % of internal renewable water resources"
"Albania",4455,26,26,0,26,100,"Conservation agriculture area as % of arable land area"
"Albania",4457,26,26,0,26,100,"Municipal water withdrawal per capita (total population)"
"Albania",4458,26,19,0,19,73.0769230769231,"GDP per Capita"
"Albania",4459,26,26,0,26,100,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Albania",4462,26,26,0,26,100,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Albania",4463,26,23,0,23,88.4615384615385,"% of area equipped for full control irrigation actually irrigated"
"Albania",4464,26,26,0,26,100,"Irrigated cropping intensity"
"Albania",4466,26,26,0,26,100,"% of area equipped by direct use of treated municipal wastewater"
"Albania",4467,26,23,0,23,88.4615384615385,"Freshwater withdrawal as % of total water withdrawal"
"Albania",4468,26,26,0,26,100,"Municipal water withdrawal per capita (urban population)"
"Albania",4470,26,14,0,14,53.8461538461538,"% of total country area cultivated"
"Albania",4471,26,25,0,25,96.1538461538462,"Dam capacity per capita"
"Albania",4509,26,26,0,26,100,"Exploitable: total renewable surface water"
"Albania",4514,26,26,0,26,100,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
"Albania",4531,26,26,0,26,100,"Industrial water withdrawal per capita"
"Albania",4532,26,26,0,26,100,"Agricultural water withdrawal per capita"
"Albania",4533,26,26,0,26,100,"Area equipped by direct use of treated municipal wastewater"
"Albania",4534,26,26,0,26,100,"Area equipped by direct use of not treated municipal wastewater"
"Albania",4535,26,26,0,26,100,"Direct use of treated municipal wastewater"
"Albania",4536,26,14,0,14,53.8461538461538,"Overlap: between surface water and groundwater"
"Albania",4538,26,18,0,18,69.2307692307692,"% of economically active population active in agriculture"
"Algeria",4103,29,17,0,17,58.6206896551724,"Cultivated area (arable land + permanent crops)"
"Algeria",4105,29,17,0,17,58.6206896551724,"Rural population"
"Algeria",4107,29,18,0,18,62.0689655172414,"Population density"
"Algeria",4108,29,21,0,21,72.4137931034483,"Population economically active in agriculture"
"Algeria",4150,29,17,0,17,58.6206896551724,"Long-term average annual precipitation in volume"
"Algeria",4157,29,17,0,17,58.6206896551724,"Total internal renewable water resources (IRWR)"
"Algeria",4158,29,18,0,18,62.0689655172414,"Total internal renewable water resources per capita"
"Algeria",4164,29,17,0,17,58.6206896551724,"Surface water: accounted inflow"
"Algeria",4176,29,17,0,17,58.6206896551724,"Surface water: total external renewable"
"Algeria",4182,29,17,0,17,58.6206896551724,"Water resources: total external renewable"
"Algeria",4185,29,17,0,17,58.6206896551724,"Total renewable surface water"
"Algeria",4187,29,17,0,17,58.6206896551724,"Total renewable groundwater"
"Algeria",4188,29,17,0,17,58.6206896551724,"Total renewable water resources"
"Algeria",4190,29,18,0,18,62.0689655172414,"Total renewable water resources per capita"
"Algeria",4192,29,17,0,17,58.6206896551724,"Dependency ratio"
"Algeria",4196,29,18,0,18,62.0689655172414,"Total exploitable water resources"
"Algeria",4253,29,26,0,26,89.6551724137931,"Total water withdrawal"
"Algeria",4254,29,25,0,25,86.2068965517241,"Agricultural water withdrawal as % of total water withdrawal"
"Algeria",4255,29,26,0,26,89.6551724137931,"Municipal water withdrawal as % of total withdrawal"
"Algeria",4256,29,26,0,26,89.6551724137931,"Industrial water withdrawal as % of total water withdrawal"
"Algeria",4257,29,28,0,28,96.551724137931,"Total water withdrawal per capita"
"Algeria",4263,29,29,0,29,100,"Total freshwater withdrawal (primary and secondary)"
"Algeria",4271,29,28,0,28,96.551724137931,"Agricultural water requirement as % of agricultural water withdrawal"
"Algeria",4273,29,28,0,28,96.551724137931,"Agricultural water withdrawal as % of total renewable water resources"
"Algeria",4275,29,28,0,28,96.551724137931,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Algeria",4300,29,28,0,28,96.551724137931,"Total cultivated area drained"
"Algeria",4305,29,29,0,29,100,"% of total cultivated area drained"
"Algeria",4311,29,28,0,28,96.551724137931,"Area equipped for full control irrigation: total"
"Algeria",4313,29,29,0,29,100,"Area equipped for irrigation: total"
"Algeria",4317,29,29,0,29,100,"Total agricultural water managed area"
"Algeria",4319,29,26,0,26,89.6551724137931,"% of agricultural water managed area equipped for irrigation"
"Algeria",4323,29,27,0,27,93.1034482758621,"% of area equipped for irrigation by groundwater"
"Algeria",4324,29,27,0,27,93.1034482758621,"% of area equipped for irrigation by surface water"
"Algeria",4325,29,27,0,27,93.1034482758621,"% of area equipped for irrigation by mixed surface water and groundwater"
"Algeria",4327,29,29,0,29,100,"% of area equipped for irrigation power irrigated"
"Algeria",4328,29,26,0,26,89.6551724137931,"% of the area equipped for irrigation actually irrigated"
"Algeria",4330,29,27,0,27,93.1034482758621,"% of irrigation potential equipped for irrigation"
"Algeria",4331,29,27,0,27,93.1034482758621,"% of the cultivated area equipped for irrigation"
"Algeria",4445,29,29,0,29,100,"% of area equipped for irrigation salinized"
"Algeria",4446,29,29,0,29,100,"% of area equipped for irrigation drained"
"Algeria",4448,29,29,0,29,100,"Other agricultural water managed area"
"Algeria",4450,29,28,0,28,96.551724137931,"Freshwater withdrawal as % of internal renewable water resources"
"Algeria",4455,29,29,0,29,100,"Conservation agriculture area as % of arable land area"
"Algeria",4457,29,28,0,28,96.551724137931,"Municipal water withdrawal per capita (total population)"
"Algeria",4458,29,17,0,17,58.6206896551724,"GDP per Capita"
"Algeria",4459,29,28,0,28,96.551724137931,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Algeria",4462,29,28,0,28,96.551724137931,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Algeria",4463,29,27,0,27,93.1034482758621,"% of area equipped for full control irrigation actually irrigated"
"Algeria",4464,29,28,0,28,96.551724137931,"Irrigated cropping intensity"
"Algeria",4466,29,28,0,28,96.551724137931,"% of area equipped by direct use of treated municipal wastewater"
"Algeria",4467,29,22,0,22,75.8620689655172,"Freshwater withdrawal as % of total water withdrawal"
"Algeria",4468,29,28,0,28,96.551724137931,"Municipal water withdrawal per capita (urban population)"
"Algeria",4470,29,17,0,17,58.6206896551724,"% of total country area cultivated"
"Algeria",4471,29,28,0,28,96.551724137931,"Dam capacity per capita"
"Algeria",4509,29,18,0,18,62.0689655172414,"Exploitable: total renewable surface water"
"Algeria",4514,29,29,0,29,100,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
"Algeria",4531,29,28,0,28,96.551724137931,"Industrial water withdrawal per capita"
"Algeria",4532,29,28,0,28,96.551724137931,"Agricultural water withdrawal per capita"
"Algeria",4533,29,27,0,27,93.1034482758621,"Area equipped by direct use of treated municipal wastewater"
"Algeria",4534,29,29,0,29,100,"Area equipped by direct use of not treated municipal wastewater"
"Algeria",4535,29,29,0,29,100,"Direct use of treated municipal wastewater"
"Algeria",4536,29,17,0,17,58.6206896551724,"Overlap: between surface water and groundwater"
"Algeria",4538,29,21,0,21,72.4137931034483,"% of economically active population active in agriculture"
"Antigua and Barbuda",4103,25,13,0,13,52,"Cultivated area (arable land + permanent crops)"
"Antigua and Barbuda",4105,25,13,0,13,52,"Rural population"
"Antigua and Barbuda",4107,25,14,0,14,56,"Population density"
"Antigua and Barbuda",4108,25,17,0,17,68,"Population economically active in agriculture"
"Antigua and Barbuda",4150,25,13,0,13,52,"Long-term average annual precipitation in volume"
"Antigua and Barbuda",4157,25,25,0,25,100,"Total internal renewable water resources (IRWR)"
"Antigua and Barbuda",4158,25,14,0,14,56,"Total internal renewable water resources per capita"
"Antigua and Barbuda",4164,25,13,0,13,52,"Surface water: accounted inflow"
"Antigua and Barbuda",4176,25,13,0,13,52,"Surface water: total external renewable"
"Antigua and Barbuda",4182,25,13,0,13,52,"Water resources: total external renewable"
"Antigua and Barbuda",4185,25,25,0,25,100,"Total renewable surface water"
"Antigua and Barbuda",4187,25,25,0,25,100,"Total renewable groundwater"
"Antigua and Barbuda",4188,25,25,0,25,100,"Total renewable water resources"
"Antigua and Barbuda",4190,25,14,0,14,56,"Total renewable water resources per capita"
"Antigua and Barbuda",4192,25,13,0,13,52,"Dependency ratio"
"Antigua and Barbuda",4196,25,25,0,25,100,"Total exploitable water resources"
"Antigua and Barbuda",4253,25,22,0,22,88,"Total water withdrawal"
"Antigua and Barbuda",4254,25,22,0,22,88,"Agricultural water withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4255,25,22,0,22,88,"Municipal water withdrawal as % of total withdrawal"
"Antigua and Barbuda",4256,25,22,0,22,88,"Industrial water withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4257,25,24,0,24,96,"Total water withdrawal per capita"
"Antigua and Barbuda",4263,25,25,0,25,100,"Total freshwater withdrawal (primary and secondary)"
"Antigua and Barbuda",4271,25,24,0,24,96,"Agricultural water requirement as % of agricultural water withdrawal"
"Antigua and Barbuda",4273,25,23,0,23,92,"Agricultural water withdrawal as % of total renewable water resources"
"Antigua and Barbuda",4275,25,24,0,24,96,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Antigua and Barbuda",4300,25,25,0,25,100,"Total cultivated area drained"
"Antigua and Barbuda",4305,25,24,0,24,96,"% of total cultivated area drained"
"Antigua and Barbuda",4311,25,23,0,23,92,"Area equipped for full control irrigation: total"
"Antigua and Barbuda",4313,25,25,0,25,100,"Area equipped for irrigation: total"
"Antigua and Barbuda",4317,25,25,0,25,100,"Total agricultural water managed area"
"Antigua and Barbuda",4319,25,23,0,23,92,"% of agricultural water managed area equipped for irrigation"
"Antigua and Barbuda",4323,25,24,0,24,96,"% of area equipped for irrigation by groundwater"
"Antigua and Barbuda",4324,25,24,0,24,96,"% of area equipped for irrigation by surface water"
"Antigua and Barbuda",4325,25,25,0,25,100,"% of area equipped for irrigation by mixed surface water and groundwater"
"Antigua and Barbuda",4327,25,24,0,24,96,"% of area equipped for irrigation power irrigated"
"Antigua and Barbuda",4328,25,24,0,24,96,"% of the area equipped for irrigation actually irrigated"
"Antigua and Barbuda",4330,25,25,0,25,100,"% of irrigation potential equipped for irrigation"
"Antigua and Barbuda",4331,25,23,0,23,92,"% of the cultivated area equipped for irrigation"
"Antigua and Barbuda",4445,25,25,0,25,100,"% of area equipped for irrigation salinized"
"Antigua and Barbuda",4446,25,25,0,25,100,"% of area equipped for irrigation drained"
"Antigua and Barbuda",4448,25,25,0,25,100,"Other agricultural water managed area"
"Antigua and Barbuda",4450,25,24,0,24,96,"Freshwater withdrawal as % of internal renewable water resources"
"Antigua and Barbuda",4455,25,25,0,25,100,"Conservation agriculture area as % of arable land area"
"Antigua and Barbuda",4457,25,24,0,24,96,"Municipal water withdrawal per capita (total population)"
"Antigua and Barbuda",4458,25,16,0,16,64,"GDP per Capita"
"Antigua and Barbuda",4459,25,23,0,23,92,"Area equipped for full control irrigation: pressurized (sprinkler + localized)"
"Antigua and Barbuda",4462,25,24,0,24,96,"Harvested irrigated crop area as % of the full control irrigation area actually irrigated"
"Antigua and Barbuda",4463,25,24,0,24,96,"% of area equipped for full control irrigation actually irrigated"
"Antigua and Barbuda",4464,25,24,0,24,96,"Irrigated cropping intensity"
"Antigua and Barbuda",4466,25,25,0,25,100,"% of area equipped by direct use of treated municipal wastewater"
"Antigua and Barbuda",4467,25,22,0,22,88,"Freshwater withdrawal as % of total water withdrawal"
"Antigua and Barbuda",4468,25,24,0,24,96,"Municipal water withdrawal per capita (urban population)"
"Antigua and Barbuda",4470,25,13,0,13,52,"% of total country area cultivated"
"Antigua and Barbuda",4471,25,25,0,25,100,"Dam capacity per capita"
"Antigua and Barbuda",4509,25,25,0,25,100,"Exploitable: total renewable surface water"
"Antigua and Barbuda",4514,25,25,0,25,100,"% of area equipped for irrigation by direct use of non-treated municipal wastewater"
"Antigua and Barbuda",4531,25,24,0,24,96,"Industrial water withdrawal per capita"
"Antigua and Barbuda",4532,25,23,0,23,92,"Agricultural water withdrawal per capita"
"Antigua and Barbuda",4533,25,25,0,25,100,"Area equipped by direct use of treated municipal wastewater"
"Antigua and Barbuda",4534,25,25,0,25,100,"Area equipped by direct use of not treated municipal wastewater"
"Antigua and Barbuda",4535,25,25,0,25,100,"Direct use of treated municipal wastewater"
"Antigua and Barbuda",4536,25,25,0,25,100,"Overlap: between surface water and groundwater"
"Antigua and Barbuda",4538,25,17,0,17,68,"% of economically active population active in agriculture"
"Argentina",4103,31,19,0,19,61.2903225806452,"Cultivated area (arable land + permanent crops)"
"Argentina",4105,31,19,0,19,61.2903225806452,"Rural population"
"Argentina",4107,31,20,0,20,64.5161290322581,"Population density"
"Argentina",4108,31,23,0,23,74.1935483870968,"Population economically active in agriculture"
"Argentina",4150,31,19,0,19,61.2903225806452,"Long-term average annual precipitation in volume"
"Argentina",4157,31,19,0,19,61.2903225806452,"Total internal renewable water resources (IRWR)"
"Argentina",4158,31,20,0,20,64.5161290322581,"Total internal renewable water resources per capita"
"Argentina",4164,31,19,0,19,61.2903225806452,"Surface water: accounted inflow"
"Argentina",4176,31,19,0,19,61.2903225806452,"Surface water: total external renewable"
"Argentina",4182,31,19,0,19,61.2903225806452,"Water resources: total external renewable"
"Argentina",4185,31,19,0,19,61.2903225806452,"Total renewable surface water"
"Argentina",4187,31,19,0,19,61.2903225806452,"Total renewable groundwater"
"Argentina",4188,31,19,0,19,61.2903225806452,"Total renewable water resources"
"Argentina",4190,31,20,0,20,64.5161290322581,"Total renewable water resources per capita"
"Argentina",4192,31,19,0,19,61.2903225806452,"Dependency ratio"
"Argentina",4196,31,31,0,31,100,"Total exploitable water resources"
"Argentina",4253,31,29,0,29,93.5483870967742,"Total water withdrawal"
"Argentina",4254,31,29,0,29,93.5483870967742,"Agricultural water withdrawal as % of total water withdrawal"
"Argentina",4255,31,29,0,29,93.5483870967742,"Municipal water withdrawal as % of total withdrawal"
"Argentina",4256,31,29,0,29,93.5483870967742,"Industrial water withdrawal as % of total water withdrawal"
"Argentina",4257,31,31,0,31,100,"Total water withdrawal per capita"
"Argentina",4263,31,31,0,31,100,"Total freshwater withdrawal (primary and secondary)"
"Argentina",4271,31,31,0,31,100,"Agricultural water requirement as % of agricultural water withdrawal"
"Argentina",4273,31,31,0,31,100,"Agricultural water withdrawal as % of total renewable water resources"
"Argentina",4275,31,31,0,31,100,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources"
"Argentina",4300,31,31,0,31,100,"Total cultivated area drained"
"Argentina",4305,31,31,0,31,100,"% of total cultivated area drained"
"Argentina",4311,31,30,0,30,96.7741935483871,"Area equipped for full control irrigation: total"
